id,text,bot_classification,bot_score,is_anomaly_iforest,is_anomaly_dbscan,max_similarity,is_duplicate,text_length
1,"seamos más críticos al momento de elegir un candidato, pensemos en el Perú como una gran empresa, y démosle el puesto de gerencia al que este más capacitado, al que tiene mejor hoja de vida, que en este caso es Rafael 💪, no dejemos ese puesto a cualquier asnillo porfavor 🙃",Alta sospecha (ambos),2,1,1,0.3845165876999143,0,273
2,"Creo que para ser un gran líder y amar a tu prójimo por igual, buscando el bienestar de todos, el Celibato es un requisito, no tendrías a una familia que anteponer a los demás y tus hijos y hermanos son el PUEBLO. Grande Rafael. Ojalá llegues a ser presidente del Perú y demuestres al prójimo el gran corazón que tienes.",Sospecha media (uno),1,1,0,0.3217374686275276,0,320
3,Para mí es el mejor apuesto por el por su conocimiento su trayectoria internacional y su capacidad de resolver investigue la obras que realizado con su plata porque el estado le cerró la puerta Peruanos apoyenlo por el momento es el mejor 🇵🇪💫,Sospecha media (uno),1,0,1,0.42423871529477175,0,242
4,moliendo azúcar 12000 mil dólares.. 🤣😂😂.. voy a comprar mi molino.. porque si trabajo para alguien con 1000 soles de sueldo .. tendría que trabajar 4 años y eso sin ningún gasto..,Normal,0,0,0,0.4958630626259355,0,179
5,Te admiro mucho señor Rafael usted es un ejemplo para el perú merece ser presidente,Normal,0,0,0,0.44859493872055,0,83
6,"Es maravilloso escuchar el relato de su trayectoria, desde que por primera vez se presentó supe que es lo que necesita el Perú, confío que por fin empiece a mejorar nuestro País.",Normal,0,0,0,0.35878755752068886,0,178
7,"La Udep es una universidad grande, profesores con otro tipo de visión. Es un oasis en el Perú donde te concentras en ser mejor. Cero política. Tu mayor preocupación son los exámenes y la fiesta para celebrar fin de ciclo.",Normal,0,0,0,0.48522289903153093,0,221
8,Su historia tiene muchos vacíos 🤨,Normal,0,0,0,0.549919534742727,0,33
9,"totalmente CIERTO sin perseverancia no logras NADA 😐 el HAMBRE Y LA NECESIDAD es un gran impulso para irte por el BUEN CAMINO O MAL CAMINO, 💪🏼👍🏼",Alta sospecha (ambos),2,1,1,0.4072893645032674,0,144
10,te creo?,Normal,0,0,0,0.3135020046619191,0,8
11,"La envidia, la maldad, el egoísmo existe.
Pero usted tranquilo señor Rafael López Aliaga, mientras usted sea transparente, cuenta con el respaldo de Dios, ya que a ÉL le agrada la honestidad y la justicia. Y yo sé que usted con la ayuda de Dios gobernará muy bien el país 🇵🇪
Que Dios lo bendiga siempre 🙏 🙌",Alta sospecha (ambos),2,1,1,0.3800181418728334,0,306
12,Después de desear que el dólar suba para ver cómo desangra la gente humilde jamás votaría x este señor .,Normal,0,0,0,0.40672567963228795,0,104
13,"Es un hombre brillante. En Perú esto no representa al pueblo, el pueblo se siente representado en el “prosor” Castillo. Me gustaría verlo de presidente, pero mejor siga de alcalde en Lima. Porque este país no merece gente inteligente en el gobierno.",Normal,0,0,0,0.3485479513452776,0,249
14,"Ho, una persona inteligente, hábil y con ganas de ser el primero siempre, eso le llevó al éxito",Normal,0,0,0,0.4231479839621128,0,95
15,"RAFAEL ESTÁS PTEPARADO PARA SER PRESIDENTE EN EL PERÚ.
ESTAS MIY CAPACITADO.
TIENES EXPERIENCIA EN LOGÍSTICA.
ERES CULTO, AMABLE, MUY PREPARADO. NO ERES CORRUPTO, ERES PERSRVERANTE Y MUY ESTUDIOSO.
TE ELIJO COMO MI PRESIDENTE.
RAFAEL LOPEZ ALIAGA. TODAS LAS BENDIVIONES PARA TI",Alta sospecha (ambos),2,1,1,0.3690914400344125,0,277
16,"Ejemplo de vida de muchos peruanos que tienen limitaciones económicas para estudiar, y sigues adelante con trabajo y perseverancia",Normal,0,0,0,0.45522539758181463,0,130
17,La UDEP Piura una gran universidad en esa epoca ingresar a ella era dificil y mantenerse tenias q esforzarte mucho. Mis hermanos son egresados.,Normal,0,0,0,0.37569973374677607,0,143
18,"Me conmueve. Lo mejor que nos puede pasar a los peruanos, es tener a Porky como nuestro presidente",Normal,0,0,0,0.3397884263807165,0,98
19,ALGUIEN QUE LOGRA ....LO QUE SE PROPONE!!....RAFAEL LOPEZ ALIAGA PRESIDENTE DEL PERÚ 2026!!....XQ EL PERÚ LO MERECE Y LO EXIGE!!...,Alta sospecha (ambos),2,1,1,0.4427728451879862,0,131
